"sciname","host","impact_type","impact_time","impact","dimension"
"Raffaelea lauricola",NA,"nutrient cycling, erosion, carbon,","past",NA,"ecosystem"
"Bretziella fagacearum",NA,"nutrient cylcing","past",NA,"ecosystem"
"Raffaelea lauricola",NA,"erosion","past",NA,"ecosystem"
"Bretziella fagacearum","","cultural, non-timber.","past","","social"
