"sciname","host","impact_type","impact_time","impact","dimension"
"Ceratocystis huliohia","Metrosideros polymorpha","near extinction","future",NA,"species"
"Litylenchus crenatae mccannii. ","Fagus grandifolia","reproduction / saplings","past",NA,"species"
"Harringtonia lauricola","Lauraceae","kills mature trees; so far many propagules ...","past",NA,"species"
"Litylenchus crenatae mccannii. ","Fagus ","reproduction ","past","kills saplings; impact on mature trees not yet clear","species"
"Litylenchus crenatae mccannii. ","Fagus grandifolia","composition","future","if prevents reproduction, will eliminate a dominant species ","community"
"Ceratocistis huliohia ","Metrosideros polymorpha","overall biodiversity","future","ohia is keystone spp dominating 70% of forests on islands; forest supports many spp     ","community"
"Harringtonia lauricola","Lauraceae","overall biodiversity","future","Lauraceae support several insect spp, &  in Central America also frugivore vertebrates","community"
"Litylenchus crenatae mccannii. ","Fagus grandifolia","nutrients, carbon, erosion ","future","beech dominate so overall carbon & erosion + nutrients (nuts important food) + shelter (cavities)","ecosystem"
"Ceratocystis huliohia ","Metrosideeros","erosion, hydrology, food (nectar) for birds & invertebrates","future","","ecosystem"
