"sciname","host","impact_type","impact_time","impact","dimension"
"Gremmeniella abietina","Pinus","Productivity, Regeneration","past","This canker has had negative impacts on red pine in the Northeast","species"
"Lachnellula willkommii","Larix sp","Decline, mortality, susceptibility to other stressors","past","Impacts have been restricted to Maine and spread has been effectively contained since original introduction ~ 100 years ago","species"
"Gremmeniella abietina","Pinus resinosa","Economic","past","Negative impact on regeneration and re-establishment in red pine plantations in the lake states and northeast","social"
